"To begin, please select your name.",9,7,24,13,22,20,16,27,31,23,26,23,7,9,30,25,24,13,20,16,11,13,25,21,22,31,26,25,24,22,27,22,V34,V35,V36,V37,V38
7,Extremely Trust  3,Trust  2,Trust  2,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Trust  2,Trust  2,Trust  2,Trust  2,Extremely Trust  3,Slightly Trust  1,This is my own name.,Extremely Trust  3,Trust  2,Slightly Trust  1,Extremely Trust  3,Extremely Trust  3,Trust  2,I don't know this person.,Slightly Trust  1,Trust  2,Extremely Trust  3,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Trust  2,Slightly Trust  1,24,25,11,27,22
7,Trust  2,This is my own name.,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,25,30,24,24,31
26,Extremely Trust  3,Slightly Trust  1,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,This is my own name.,Trust  2,Extremely Trust  3,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Trust  2,I don't know this person.,Trust  2,Trust  2,Trust  2,Trust  2,Extremely Trust  3,Trust  2,Trust  2,Extremely Trust  3,Extremely Trust  3,Trust  2,Slightly Trust  1,Slightly Trust  1,26,9,25,24,20
22,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Trust  2,I don't know this person.,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Trust  2,Neither Distrust Nor Trust  0,I don't know this person.,Trust  2,I don't know this person.,I don't know this person.,Neither Distrust Nor Trust  0,Extremely Trust  3,Extremely Trust  3,This is my own name.,Trust  2,Trust  2,Trust  2,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,I don't know this person.,9,25,21,20,26
20,Extremely Trust  3,Trust  2,Trust  2,Extremely Trust  3,Trust  2,Extremely Trust  3,Trust  2,Extremely Trust  3,Extremely Trust  3,Trust  2,Trust  2,Trust  2,Trust  2,Extremely Trust  3,Extremely Trust  3,Trust  2,Trust  2,Extremely Trust  3,This is my own name.,Trust  2,Trust  2,Trust  2,Trust  2,Extremely Trust  3,Trust  2,Trust  2,Extremely Trust  3,Trust  2,Trust  2,Extremely Trust  3,Trust  2,Extremely Trust  3,22,9,13,30,9
22,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,This is my own name.,Trust  2,Trust  2,31,9,20,26,22
9,This is my own name.,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Trust  2,Trust  2,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Extremely Trust  3,Neither Distrust Nor Trust  0,Trust  2,Slightly Trust  1,Slightly Trust  1,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Slightly Trust  1,Neither Distrust Nor Trust  0,I don't know this person.,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Slightly Trust  1,Trust  2,Neither Distrust Nor Trust  0,Extremely Trust  3,Slightly Trust  1,Extremely Trust  3,Trust  2,Neither Distrust Nor Trust  0,Trust  2,22,25,22,26,22
23,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Trust  2,This is my own name.,Neither Distrust Nor Trust  0,Trust  2,Slightly Trust  1,Trust  2,Neither Distrust Nor Trust  0,Trust  2,Trust  2,I don't know this person.,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Slightly Trust  1,Neither Distrust Nor Trust  0,Extremely Trust  3,Slightly Trust  1,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Slightly Trust  1,22,20,27,20,31
13,Extremely Trust  3,Slightly Trust  1,Trust  2,This is my own name.,Trust  2,Trust  2,Trust  2,Extremely Trust  3,Trust  2,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Slightly Trust  1,Trust  2,I don't know this person.,Slightly Trust  1,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Extremely Trust  3,9,21,26,22,27
24,Trust  2,Slightly Trust  1,Trust  2,Extremely Trust  3,Extremely Trust  3,Trust  2,Trust  2,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Slightly Trust  1,Extremely Trust  3,Extremely Trust  3,Trust  2,Slightly Trust  1,This is my own name.,Trust  2,Trust  2,I don't know this person.,Slightly Trust  1,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Trust  2,Slightly Trust  1,9,25,9,7,22
25,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Slightly Trust  1,Slightly Trust  1,Slightly Trust  1,Slightly Trust  1,Trust  2,Slightly Trust  1,Slightly Trust  1,Trust  2,Slightly Trust  1,This is my own name.,Trust  2,Trust  2,Slightly Trust  1,Slightly Trust  1,26,26,24,13,22
16,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,This is my own name.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,26,22,31,24,9
11,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Slightly Trust  1,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Slightly Trust  1,I don't know this person.,This is my own name.,Slightly Trust  1,Slightly Trust  1,Extremely Trust  3,Extremely Trust  3,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Extremely Trust  3,Trust  2,Slightly Trust  1,22,9,23,22,27
9,Slightly Trust  1,Neither Distrust Nor Trust  0,Trust  2,Trust  2,Slightly Trust  1,Slightly Trust  1,Trust  2,Slightly Trust  1,Trust  2,Neither Distrust Nor Trust  0,Slightly Trust  1,Neither Distrust Nor Trust  0,Trust  2,This is my own name.,Trust  2,Slightly Trust  1,Trust  2,Neither Distrust Nor Trust  0,Slightly Trust  1,I don't know this person.,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Slightly Trust  1,Neither Distrust Nor Trust  0,Slightly Trust  1,Slightly Trust  1,Trust  2,Slightly Trust  1,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,22,25,13,20,31
13,Slightly Trust  1,Slightly Trust  1,Slightly Trust  1,Trust  2,Trust  2,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Slightly Trust  1,Extremely Trust  3,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Slightly Trust  1,I don't know this person.,Neither Distrust Nor Trust  0,This is my own name.,Trust  2,Neither Distrust Nor Trust  0,Trust  2,Extremely Trust  3,Slightly Trust  1,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Trust  2,22,31,7,22,23
31,Neither Distrust Nor Trust  0,Extremely Trust  3,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Extremely Trust  3,Trust  2,Neither Distrust Nor Trust  0,Extremely Trust  3,Slightly Trust  1,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,I don't know this person.,Neither Distrust Nor Trust  0,Extremely Trust  3,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,This is my own name.,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Extremely Trust  3,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,31,24,13,23,7
20,Trust  2,Trust  2,I don't know this person.,Trust  2,Trust  2,This is my own name.,Trust  2,Slightly Trust  1,Slightly Trust  1,Slightly Trust  1,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Slightly Trust  1,Trust  2,I don't know this person.,Trust  2,Neither Distrust Nor Trust  0,Trust  2,Trust  2,Trust  2,I don't know this person.,Trust  2,Slightly Trust  1,Slightly Trust  1,Trust  2,Neither Distrust Nor Trust  0,Trust  2,22,22,20,26,16
21,Extremely Trust  3,Extremely Trust  3,Slightly Trust  1,Extremely Trust  3,Trust  2,Extremely Trust  3,Trust  2,Extremely Trust  3,Extremely Trust  3,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Extremely Trust  3,Slightly Trust  1,Trust  2,Extremely Trust  3,Extremely Trust  3,I don't know this person.,Slightly Trust  1,Slightly Trust  1,Extremely Trust  3,This is my own name.,Extremely Trust  3,Slightly Trust  1,Extremely Trust  3,Slightly Trust  1,Trust  2,Trust  2,Slightly Trust  1,Trust  2,9,20,26,22,27
26,Trust  2,Neither Distrust Nor Trust  0,I don't know this person.,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Slightly Trust  1,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,I don't know this person.,I don't know this person.,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  1,Trust  2,Trust  2,I don't know this person.,This is my own name.,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Slightly Trust  1,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,22,9,20,21,22
24,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Trust  2,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Trust  2,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,I don't know this person.,Trust  2,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,This is my own name.,Trust  2,Extremely Trust  3,Extremely Trust  3,24,20,31,13,23
24,Trust  2,Trust  2,This is my own name.,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Extremely Trust  3,Trust  2,Trust  2,Slightly Trust  1,Trust  2,Trust  2,Extremely Trust  3,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Trust  2,Extremely Trust  3,Extremely Trust  3,Extremely Trust  3,Trust  2,Trust  2,26,25,24,9,24
31,Extremely Trust  3,Neither Distrust Nor Trust  0,Slightly Trust  1,Neither Distrust Nor Trust  0,This is my own name.,Extremely Trust  3,Neither Distrust Nor Trust  0,Trust  2,This is my own name.,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Slightly Trust  1,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Slightly Trust  1,Trust  2,Extremely Trust  3,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Extremely Trust  3,Neither Distrust Nor Trust  0,Neither Distrust Nor Trust  0,Trust  2,Neither Distrust Nor Trust  0,Slightly Trust  1,Trust  2,Neither Distrust Nor Trust  0,Extremely Trust  3,22,9,22,20,20
